MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
6,9,10,9,9,5,6,7,9,4,6,6,8,2,8,8,9,5,8,5,0.7867
6,8,2,2,9,4,4,8,2,2,6,4,6,7,4,12,6,9,3,7,0.665
5,3,4,12,10,7,6,6,3,4,7,4,11,2,5,3,3,7,8,3,0.6787
7,3,7,7,6,8,5,8,7,5,7,5,3,9,5,6,5,7,3,6,0.6977
6,5,6,2,9,8,4,8,6,5,7,2,8,13,8,6,5,3,3,10,0.7424
4,8,10,2,8,8,5,6,2,5,4,10,4,9,6,4,1,6,2,6,0.6214
6,6,3,0,3,7,2,5,8,4,5,7,6,7,7,8,4,4,6,1,0.5707
4,8,2,6,14,9,11,8,3,3,4,2,13,7,10,8,6,7,8,3,0.7821
7,5,6,9,14,8,6,11,7,2,9,10,7,7,6,8,4,12,7,9,0.8648
7,3,8,4,6,5,8,5,8,6,10,3,7,5,2,10,3,6,2,5,0.642
4,3,6,5,5,7,4,7,4,6,1,8,6,8,8,5,4,5,6,5,0.6164
7,5,5,6,2,7,11,6,2,7,6,7,6,5,10,7,3,5,4,5,0.5981
6,2,8,5,11,2,8,5,8,11,6,8,6,3,7,8,3,10,2,3,0.6761
6,6,8,11,5,8,6,6,3,3,8,8,5,3,6,5,9,7,7,0,0.6501
6,4,3,6,6,6,5,4,5,6,2,7,10,9,14,2,6,3,4,5,0.6472
6,6,7,5,9,5,2,10,7,5,1,8,4,6,11,4,5,5,6,8,0.6936
6,6,2,5,3,8,1,5,6,7,1,7,6,7,9,5,6,5,6,10,0.6601
3,13,5,4,5,6,5,7,3,8,5,7,8,5,4,5,4,4,3,5,0.6182
6,11,9,5,4,8,5,6,5,3,4,6,5,5,6,5,7,6,3,6,0.6524
2,8,6,6,8,2,6,10,8,6,8,4,4,4,8,6,7,7,7,5,0.6819
10,10,3,11,4,8,5,11,6,2,3,5,7,7,3,4,5,6,4,3,0.7227
5,4,5,8,7,3,6,3,15,2,3,7,7,6,6,3,6,4,7,3,0.663
4,8,6,8,4,1,5,6,4,6,6,5,11,4,7,7,6,5,6,6,0.6547
3,3,2,6,6,4,8,9,4,7,7,6,4,4,8,3,1,10,5,9,0.5984
9,8,5,5,3,5,6,5,7,6,6,5,9,2,4,8,6,5,5,4,0.6483
5,6,5,7,7,7,7,5,8,5,6,4,4,4,5,4,4,5,8,2,0.6444
5,8,5,5,6,4,6,1,9,4,5,3,6,4,3,7,9,1,6,6,0.597
7,8,9,8,4,7,8,4,7,5,4,9,7,6,5,7,8,8,6,7,0.7036
7,7,7,1,6,6,6,6,10,7,7,7,7,5,6,4,6,6,3,4,0.6672
5,7,5,7,7,12,5,7,6,7,4,2,5,10,8,9,9,6,7,6,0.7616
3,7,5,9,7,4,3,4,6,5,2,9,5,9,8,5,8,6,9,5,0.6842
5,3,5,5,4,4,3,7,4,7,5,3,5,6,4,4,6,6,4,7,0.5965
5,6,6,11,5,9,6,9,8,5,8,6,9,6,7,7,3,7,6,8,0.7818
10,3,7,7,8,10,5,4,5,3,7,5,6,3,6,3,6,9,11,1,0.7074
10,4,7,9,3,5,5,5,11,5,6,6,7,4,6,8,5,5,7,4,0.7241
5,2,9,8,5,10,6,8,7,7,11,7,4,6,5,7,5,2,5,3,0.711
3,8,5,7,7,5,7,4,1,3,8,7,3,9,8,6,15,7,8,4,0.711
5,9,4,7,5,6,5,8,7,5,4,6,5,5,12,5,5,7,9,8,0.6963
7,8,3,6,2,6,5,4,8,4,5,7,5,7,5,6,7,2,7,9,0.6474
8,10,9,4,4,5,2,2,6,9,8,7,6,3,7,8,10,8,7,13,0.7554
8,4,8,6,7,7,9,8,8,10,6,6,8,9,6,7,8,8,5,12,0.8373
2,6,6,6,4,10,4,8,8,5,2,4,4,8,4,3,4,8,5,4,0.589
4,6,8,5,7,5,6,3,9,10,4,8,4,7,9,7,3,7,3,11,0.698
9,7,9,3,5,3,4,12,8,6,5,8,5,9,6,7,8,8,7,6,0.7624
9,3,4,5,2,4,3,5,8,5,5,9,3,7,8,10,11,4,7,12,0.7215
11,6,7,6,4,4,4,7,4,9,13,7,7,4,5,5,3,5,4,6,0.7158
9,7,6,6,6,4,5,4,4,4,9,6,5,5,4,4,2,3,6,6,0.6559
4,3,5,4,5,8,5,3,8,7,9,2,5,9,7,4,7,4,9,8,0.6687
4,3,6,7,8,9,8,8,9,4,5,4,6,5,9,5,7,6,10,8,0.7265
3,6,8,5,6,5,6,7,3,7,6,4,8,6,8,6,4,11,9,4,0.6565
4,9,9,5,7,11,6,8,2,6,8,4,4,4,6,5,6,2,5,0,0.6334
5,7,7,8,4,9,6,5,8,3,2,6,8,8,6,5,8,7,3,4,0.6863
6,7,8,6,7,7,5,3,6,7,7,6,8,4,7,8,9,8,2,7,0.7197
6,4,7,8,3,7,7,5,10,5,4,5,5,6,2,6,3,5,5,8,0.6393
4,6,5,10,10,4,4,5,5,4,6,5,4,5,6,6,5,9,7,5,0.6776
10,5,4,7,3,6,6,7,7,4,8,4,6,5,6,4,4,6,8,2,0.6568
3,6,5,10,8,7,6,4,2,5,6,4,4,2,9,3,6,2,7,5,0.595
1,10,8,7,4,7,6,3,2,8,6,10,4,6,2,5,6,7,11,4,0.628
5,5,7,3,4,5,7,6,5,7,4,9,2,10,5,4,5,4,5,8,0.6091
5,7,4,5,3,4,7,7,4,8,5,6,7,7,4,6,3,4,4,4,0.5862
5,7,4,11,6,8,5,6,8,3,5,8,4,9,2,5,7,2,7,5,0.7077
5,5,11,7,5,9,2,2,5,6,5,5,7,3,7,12,7,3,8,5,0.7058
4,1,8,8,6,9,5,5,3,5,6,9,5,9,9,9,4,4,5,2,0.6733
10,8,7,5,9,5,8,7,6,5,7,5,7,5,6,4,6,3,2,6,0.7213
3,5,7,6,4,4,7,8,7,6,5,3,3,9,8,6,4,6,7,8,0.6735
2,4,6,8,1,10,3,5,8,4,1,6,6,4,8,8,11,4,6,4,0.5735
5,5,7,6,10,7,0,4,5,5,4,5,6,4,5,10,4,2,7,8,0.6673
9,3,4,6,10,7,2,5,5,7,11,2,7,5,9,2,8,7,2,3,0.7492
6,8,10,5,8,6,6,4,6,5,4,9,8,5,4,5,7,6,7,5,0.6871
8,9,7,6,5,5,4,4,5,9,7,6,7,6,13,9,4,6,4,6,0.7258
8,6,8,6,7,4,6,7,7,9,4,4,3,7,5,9,8,7,7,3,0.712
7,5,5,8,4,4,6,8,5,4,5,4,3,2,6,2,6,6,1,11,0.5964
8,2,4,5,10,13,6,3,6,5,8,8,2,6,7,7,6,2,6,5,0.7241
3,6,8,4,7,6,8,4,6,5,9,4,7,6,5,5,8,3,3,8,0.6281
4,5,9,4,10,8,2,7,6,5,10,6,9,6,4,7,7,7,10,7,0.7269
3,4,3,3,6,1,9,4,8,3,9,8,8,7,8,5,7,2,4,6,0.5933
4,10,2,5,2,7,5,8,8,7,9,1,4,4,9,7,7,5,6,8,0.6539
9,4,6,6,6,4,6,7,5,10,3,4,5,7,5,5,10,8,3,2,0.7077
4,2,8,8,10,4,7,3,10,9,9,7,3,4,4,7,8,6,3,5,0.676
4,3,5,9,11,5,4,4,4,3,7,5,8,3,7,3,5,10,7,5,0.6685
4,6,4,5,5,7,5,9,6,8,6,3,3,4,8,7,3,6,3,5,0.6191
8,3,8,4,5,7,10,8,3,5,6,12,1,6,8,9,9,3,4,5,0.6445
5,8,4,2,10,3,8,6,6,9,5,5,5,5,4,5,7,2,8,4,0.6412
7,5,2,6,1,8,3,5,6,13,4,5,8,7,6,5,7,5,6,6,0.6768
11,4,5,3,5,2,8,3,4,7,1,3,10,3,9,7,3,6,9,7,0.6384
8,10,5,6,5,8,7,4,4,12,5,6,3,8,3,11,2,3,6,4,0.6664
5,4,5,6,8,6,8,7,8,4,6,6,5,7,7,8,3,7,9,6,0.6899
11,7,7,4,7,5,6,7,2,5,13,6,5,9,2,6,6,6,8,4,0.7886
6,12,7,8,3,4,7,3,4,4,4,7,7,4,8,5,7,8,5,0,0.6394
6,5,7,5,10,4,8,7,6,3,6,7,5,7,5,6,8,7,5,7,0.6967
8,8,5,9,6,8,6,4,7,6,4,7,9,3,7,6,13,3,8,4,0.739
12,6,7,4,9,1,8,6,8,9,10,7,15,5,5,9,7,6,5,8,0.8313
