time_hrs,discharge_m3s
0.0,0.0
0.7181,2061.56
1.4363,9473.88
2.1544,23115.67
2.8725,43527.19
3.5907,71118.51
4.3088,106211.74
5.027,149096.73
5.7451,150423.37
6.4632,126972.56
7.1814,107175.18
7.8995,90466.71
8.6176,76363.07
9.3358,64456.64
10.0539,54407.94
10.7721,45924.73
11.4902,38765.12
12.2083,32721.69
12.9265,27619.77
13.6446,23313.89
14.3627,19679.28
15.0809,16610.92
15.799,14021.3
16.5172,11835.11
17.2353,9990.04
17.9534,8432.6
18.6716,7117.8
19.3897,6008.15
20.1078,5071.48
20.826,4280.75
21.5441,3613.38
22.2623,3049.99
22.9804,2574.5
23.6985,2173.14
24.4167,1834.31
25.1348,1548.34
25.8529,1306.96
26.5711,1103.18
27.2892,931.19
28.0074,786.0
28.7255,663.47
29.4436,560.03
30.1618,472.71
30.8799,399.02
31.598,336.81
32.3162,284.3
33.0343,239.97
33.7524,202.56
34.4706,170.98
35.1887,144.32
35.9069,121.82
36.625,102.83
37.3431,86.8
38.0613,73.27
38.7794,61.84
39.4975,52.2
40.2157,44.06
40.9338,37.19
41.652,31.39
42.3701,26.5
