time_seconds,discharge_m3s
0.0,0.0
2585.2,2061.56
5170.7,9473.88
7755.8,23115.67
10341.0,43527.19
12926.5,71118.51
15511.7,106211.74
18097.2,149096.73
20682.4,150423.37
23267.5,126972.56
25853.0,107175.18
28438.2,90466.71
31023.4,76363.07
33608.9,64456.64
36194.0,54407.94
38779.6,45924.73
41364.7,38765.12
43949.9,32721.69
46535.4,27619.77
49120.6,23313.89
51705.7,19679.28
54291.2,16610.92
56876.4,14021.3
59461.9,11835.11
62047.1,9990.04
64632.2,8432.6
67217.8,7117.8
69802.9,6008.15
72388.1,5071.48
74973.6,4280.75
77558.8,3613.38
80144.3,3049.99
82729.4,2574.5
85314.6,2173.14
87900.1,1834.31
90485.3,1548.34
93070.4,1306.96
95656.0,1103.18
98241.1,931.19
100826.6,786.0
103411.8,663.47
105997.0,560.03
108582.5,472.71
111167.6,399.02
113752.8,336.81
116338.3,284.3
118923.5,239.97
121508.6,202.56
124094.2,170.98
126679.3,144.32
129264.8,121.82
131850.0,102.83
134435.2,86.8
137020.7,73.27
139605.8,61.84
142191.0,52.2
144776.5,44.06
147361.7,37.19
149947.2,31.39
152532.4,26.5
